Experiment,SRAStudy
SRX020765,SRP002486
SRX020766,SRP002486
SRX020766,SRP002486
SRX020767,SRP002486
SRX020767,SRP002486
SRX020768,SRP002486
SRX020769,SRP002486
SRX020769,SRP002486
SRX021983,SRP002608
SRX022390,SRP002673
SRX022562,SRP002489
SRX022563,SRP002489
SRX022564,SRP002489
SRX022565,SRP002489
SRX022566,SRP002489
SRX022567,SRP002489
SRX022568,SRP002489
SRX022569,SRP002489
SRX022569,SRP002489
SRX022569,SRP002489
SRX022570,SRP002489
SRX022570,SRP002489
SRX022570,SRP002489
SRX022570,SRP002489
SRX022570,SRP002489
SRX022570,SRP002489
SRX022571,SRP002489
SRX022571,SRP002489
SRX022571,SRP002489
SRX022572,SRP002489
SRX022572,SRP002489
SRX022572,SRP002489
SRX022572,SRP002489
SRX022572,SRP002489
SRX022573,SRP002489
SRX022573,SRP002489
SRX022573,SRP002489
SRX022573,SRP002489
SRX022573,SRP002489
SRX022574,SRP002489
SRX022574,SRP002489
SRX022574,SRP002489
SRX022575,SRP002489
SRX022575,SRP002489
SRX022575,SRP002489
SRX022576,SRP002489
SRX022576,SRP002489
SRX022576,SRP002489
SRX022577,SRP002489
SRX022577,SRP002489
SRX022577,SRP002489
SRX022578,SRP002489
SRX022578,SRP002489
SRX022578,SRP002489
SRX022432,SRP002686
SRX022433,SRP002686
SRX022434,SRP002686
SRX022391,SRP002673
SRX022392,SRP002673
SRX022393,SRP002673
SRX022394,SRP002673
SRX022395,SRP002673
SRX022396,SRP002673
SRX022397,SRP002673
SRX023216,SRP002829
SRX022741,SRP002787
SRX022741,SRP002787
SRX022741,SRP002787
SRX022741,SRP002787
SRX023135,SRP002814
SRX023135,SRP002814
SRX023649,SRP002252
SRX023650,SRP002252
SRX023651,SRP002252
SRX023652,SRP002252
SRX023653,SRP002252
SRX023654,SRP002252
SRX023655,SRP002252
SRX023656,SRP002252
SRX023657,SRP002252
SRX023658,SRP002252
SRX023659,SRP002252
SRX023660,SRP002252
SRX023661,SRP002252
SRX026263,SRP003411
SRX026264,SRP003411
SRX026264,SRP003411
SRX026265,SRP003411
SRX026266,SRP003411
SRX026267,SRP003411
SRX026268,SRP003411
SRX026634,SRP003496
SRX026635,SRP003496
SRX026098,SRP003362
SRX026529,SRP003480
SRX026529,SRP003480
SRX026529,SRP003480
SRX026529,SRP003480
SRX026529,SRP003480
SRX026529,SRP003480
SRX026530,SRP003480
SRX026530,SRP003480
SRX026531,SRP003480
SRX026531,SRP003480
SRX026531,SRP003480
SRX026531,SRP003480
SRX026531,SRP003480
SRX026531,SRP003480
SRX026532,SRP003480
SRX026532,SRP003480
SRX026533,SRP003480
SRX026533,SRP003480
SRX026533,SRP003480
SRX026533,SRP003480
SRX026534,SRP003480
SRX026534,SRP003480
SRX026534,SRP003480
SRX026534,SRP003480
SRX026535,SRP003480
SRX026535,SRP003480
SRX026535,SRP003480
SRX026536,SRP003480
SRX026536,SRP003480
SRX026536,SRP003480
SRX026636,SRP003496
SRX026637,SRP003496
SRX026638,SRP003496
SRX026639,SRP003496
SRX026640,SRP003496
SRX026641,SRP003496
SRX026642,SRP003496
SRX026643,SRP003496
SRX026648,SRP003496
SRX026653,SRP003496
SRX026657,SRP003496
SRX026659,SRP003496
SRX026660,SRP003496
SRX026719,SRP003499
SRX026720,SRP003499
SRX026720,SRP003499
SRX026748,SRP003506
SRX026748,SRP003506
SRX026748,SRP003506
SRX026880,SRP003557
SRX026880,SRP003557
SRX026902,SRP003566
SRX026903,SRP003566
SRX026904,SRP003566
SRX026905,SRP003566
SRX027270,SRP003634
SRX027270,SRP003634
SRX027270,SRP003634
SRX027270,SRP003634
SRX027270,SRP003634
SRX027270,SRP003634
SRX027270,SRP003634
SRX027270,SRP003634
SRX027271,SRP003634
SRX027271,SRP003634
SRX027271,SRP003634
SRX027272,SRP003634
SRX027272,SRP003634
SRX027272,SRP003634
SRX027273,SRP003634
SRX027273,SRP003634
SRX027273,SRP003634
SRX027401,SRP003654
SRX027402,SRP003654
SRX027403,SRP003654
SRX027458,SRP003665
SRX027482,SRP003669
SRX027488,SRP003669
SRX027490,SRP003669
SRX027902,SRP003749
SRX027903,SRP003749
SRX027904,SRP003749
SRX027905,SRP003749
SRX027906,SRP003749
SRX027907,SRP003749
SRX027908,SRP003749
SRX027909,SRP003749
SRX027910,SRP003749
SRX027911,SRP003749
SRX027912,SRP003749
SRX027913,SRP003749
SRX027914,SRP003749
SRX027915,SRP003749
SRX027916,SRP003749
SRX027917,SRP003749
SRX028581,SRP003803
SRX028582,SRP003803
SRX028583,SRP003803
SRX028584,SRP003803
SRX028585,SRP003803
SRX028586,SRP003803
SRX028586,SRP003803
SRX028587,SRP003803
SRX028588,SRP003803
SRX028589,SRP003803
SRX028590,SRP003803
SRX028591,SRP003803
SRX028592,SRP003803
SRX028592,SRP003803
SRX028632,SRP003811
SRX028633,SRP003811
SRX028634,SRP003811
SRX028635,SRP003811
SRX029433,SRP003927
SRX029434,SRP003927
SRX029435,SRP003927
SRX029436,SRP003927
SRX029437,SRP003927
SRX028636,SRP003812
SRX028637,SRP003812
SRX028638,SRP003812
SRX028639,SRP003812
SRX028640,SRP003812
SRX028641,SRP003812
SRX028642,SRP003812
SRX028643,SRP003812
SRX028644,SRP003812
SRX028645,SRP003812
SRX028646,SRP003812
SRX029081,SRP003882
SRX029083,SRP003882
SRX029083,SRP003882
SRX029085,SRP003882
SRX029085,SRP003882
SRX029086,SRP003882
SRX029086,SRP003882
SRX029087,SRP003882
SRX029087,SRP003882
SRX029088,SRP003882
SRX029088,SRP003882
SRX029315,SRP003903
SRX029597,SRP003960
SRX029597,SRP003960
SRX029598,SRP003960
SRX029598,SRP003960
SRX031244,SRP004455
SRX031244,SRP004455
SRX031245,SRP004455
SRX031245,SRP004455
SRX031246,SRP004455
SRX031246,SRP004455
SRX031247,SRP004455
SRX031247,SRP004455
SRX031247,SRP004455
SRX031248,SRP004455
SRX031248,SRP004455
SRX032595,SRP004717
SRX032595,SRP004717
SRX032595,SRP004717
SRX032596,SRP004717
SRX032596,SRP004717
SRX032874,SRP004758
SRX032874,SRP004758
SRX032875,SRP004758
SRX032876,SRP004758
SRX032876,SRP004758
SRX032877,SRP004758
SRX032890,SRP004758
SRX032891,SRP004758
SRX035160,SRP004887
SRX035159,SRP004885
SRX035159,SRP004885
ERX008613,ERP000380
ERX008614,ERP000380
ERX008612,ERP000380
ERX008568,ERP000380
ERX008610,ERP000380
ERX008607,ERP000380
ERX008608,ERP000380
ERX008605,ERP000380
ERX008611,ERP000380
ERX008602,ERP000380
ERX008600,ERP000380
ERX008615,ERP000380
ERX008598,ERP000380
ERX008604,ERP000380
ERX008603,ERP000380
ERX008617,ERP000380
ERX008593,ERP000380
ERX008594,ERP000380
ERX008585,ERP000380
ERX008587,ERP000380
ERX008589,ERP000380
ERX008590,ERP000380
ERX008591,ERP000380
ERX008592,ERP000380
ERX008572,ERP000380
ERX008569,ERP000380
ERX008570,ERP000380
ERX008573,ERP000380
ERX008574,ERP000380
ERX008586,ERP000380
ERX008596,ERP000380
ERX008620,ERP000380
ERX008619,ERP000380
ERX008618,ERP000380
ERX008576,ERP000380
ERX008575,ERP000380
ERX008580,ERP000380
ERX008579,ERP000380
ERX008582,ERP000380
ERX008581,ERP000380
ERX008595,ERP000380
ERX008583,ERP000380
SRX036563,SRP004916
SRX036564,SRP004916
SRX036635,SRP004933
SRX036636,SRP004933
SRX036637,SRP004933
SRX036638,SRP004933
SRX036640,SRP004933
SRX036641,SRP004933
SRX037417,SRP005174
SRX037418,SRP005174
SRX037419,SRP005174
SRX037935,SRP005281
SRX037936,SRP005281
SRX037937,SRP005281
SRX037938,SRP005281
SRX037939,SRP005281
SRX037940,SRP005281
SRX037941,SRP005281
SRX037946,SRP005281
SRX037946,SRP005281
SRX037947,SRP005281
SRX037947,SRP005281
SRX037947,SRP005281
SRX038504,SRP005344
SRX038504,SRP005344
SRX038505,SRP005344
SRX038524,SRP005344
SRX038525,SRP005344
SRX038543,SRP005344
SRX038544,SRP005344
SRX038562,SRP005344
SRX038563,SRP005344
SRX038582,SRP005344
SRX038583,SRP005344
SRX038602,SRP005344
SRX038602,SRP005344
SRX038602,SRP005344
SRX038603,SRP005344
SRX038622,SRP005344
SRX038623,SRP005344
SRX038908,Illumina Genome Analyzer II
SRX038909,Illumina Genome Analyzer II
SRX038910,Illumina Genome Analyzer II
SRX038911,Illumina Genome Analyzer II
SRX038912,Illumina Genome Analyzer II
SRX038913,Illumina Genome Analyzer II
SRX038914,Illumina Genome Analyzer II
SRX038915,Illumina Genome Analyzer II
SRX038916,Illumina Genome Analyzer II
SRX038644,SRP005344
SRX038645,SRP005344
SRX038664,SRP005344
SRX038665,SRP005344
SRX038777,SRP005383
SRX039137,SRP005433
SRX039137,SRP005433
SRX039137,SRP005433
SRX039137,SRP005433
SRX039138,SRP005433
SRX039138,SRP005433
SRX039138,SRP005433
SRX039138,SRP005433
SRX039139,SRP005433
SRX039139,SRP005433
SRX039140,SRP005433
SRX039140,SRP005433
SRX039141,SRP005433
SRX039141,SRP005433
SRX039142,SRP005433
SRX039142,SRP005433
SRX039145,SRP005433
SRX039145,SRP005433
SRX039145,SRP005433
SRX039146,SRP005433
SRX040560,SRP005609
SRX040561,SRP005609
SRX040562,SRP005609
SRX040563,SRP005609
SRX041286,SRP005646
SRX041287,SRP005646
SRX041288,SRP005646
SRX041289,SRP005646
SRX041290,SRP005646
SRX041291,SRP005646
SRX041292,SRP005646
SRX041293,SRP005646
SRX042342,Illumina Genome Analyzer II
SRX042343,Illumina Genome Analyzer II
SRX045434,SRP005910
SRX045434,SRP005910
SRX045434,SRP005910
SRX045435,SRP005910
SRX045435,SRP005910
SRX047081,SRP005967
SRX047082,SRP005967
SRX047083,SRP005967
SRX047084,SRP005967
SRX055346,SRP006309
SRX055346,SRP006309
SRX055348,SRP006309
SRX055348,SRP006309
SRX055348,SRP006309
SRX055353,SRP006309
SRX055354,SRP006309
SRX054457,SRP006202
SRX054458,SRP006202
SRX055303,SRP006292
SRX055304,SRP006292
SRX055305,SRP006292
SRX055306,SRP006292
SRX055308,SRP006293
SRX055309,SRP006293
SRX055310,SRP006293
SRX055311,SRP006293
SRX055312,SRP006293
SRX058249,SRP005281
SRX059360,SRP006560
SRX059367,SRP006560
SRX062356,SRP006770
SRX062356,SRP006770
SRX062356,SRP006770
SRX062358,SRP006770
SRX062358,SRP006770
SRX062358,SRP006770
SRX062357,SRP006770
SRX062359,SRP006770
SRX062360,SRP006770
SRX062362,SRP006770
SRX062362,SRP006770
SRX065546,SRP006844
SRX065547,SRP006844
SRX065548,SRP006844
SRX065549,SRP006844
SRX065554,SRP006844
SRX059371,SRP006562
SRX059372,SRP006562
SRX059373,SRP006562
SRX059700,SRP006577
SRX059368,SRP006560
SRX059703,SRP006579
SRX059704,SRP006579
SRX059705,SRP006579
SRX059706,SRP006579
SRX059707,SRP006579
SRX059708,SRP006579
SRX059709,SRP006579
SRX059710,SRP006579
SRX059711,SRP006579
SRX059712,SRP006579
SRX059713,SRP006579
SRX059714,SRP006579
SRX059715,SRP006579
SRX059716,SRP006579
SRX060810,SRP006701
SRX060810,SRP006701
SRX060810,SRP006701
SRX060810,SRP006701
SRX060811,SRP006701
SRX060811,SRP006701
SRX060811,SRP006701
SRX060812,SRP006701
SRX060813,SRP006701
SRX062335,SRP006768
SRX062336,SRP006768
SRX062337,SRP006768
SRX062338,SRP006768
SRX062339,SRP006768
SRX063912,SRP003496
SRX063913,Illumina Genome Analyzer
SRX063917,SRP003496
SRX063918,SRP003496
SRX063919,SRP003496
SRX063920,SRP003496
SRX063921,SRP003496
SRX063922,SRP003496
SRX064480,SRP006833
SRX064480,SRP006833
SRX064481,SRP006833
SRX064482,SRP006833
SRX064483,SRP006833
SRX064484,SRP006833
SRX064484,SRP006833
SRX064489,SRP006833
SRX064489,SRP006833
SRX064490,SRP006833
SRX064491,SRP006833
SRX064492,SRP006833
SRX064493,SRP006833
SRX064493,SRP006833
SRX067387,SRP006944
SRX067387,SRP006944
SRX067387,SRP006944
SRX067396,SRP006944
SRX067396,SRP006944
SRX067423,SRP006944
SRX067423,SRP006944
SRX070876,SRP006967
SRX070877,SRP006967
SRX070878,SRP006967
SRX070879,SRP006967
SRX070881,SRP006968
SRX070882,SRP006968
SRX070883,SRP006968
SRX070884,SRP006968
SRX070885,SRP006968
SRX067446,SRP006944
SRX067446,SRP006944
SRX067467,SRP006944
SRX067467,SRP006944
SRX067467,SRP006944
SRX067470,SRP006944
SRX067470,SRP006944
SRX067475,SRP006944
SRX067475,SRP006944
SRX067495,SRP006944
SRX067495,SRP006944
SRX067503,SRP006944
SRX067503,SRP006944
SRX067513,SRP006944
SRX067513,SRP006944
SRX067516,SRP006944
SRX067516,SRP006944
SRX067534,SRP006944
SRX067534,SRP006944
SRX067535,SRP006944
SRX067535,SRP006944
SRX067536,SRP006944
SRX067536,SRP006944
SRX077859,SRP007215
SRX077860,SRP007215
SRX079858,SRP007333
SRX080130,SRP007350
SRX080131,SRP007350
SRX080135,SRP007350
SRX080137,SRP007350
SRX080138,SRP007350
SRX080142,SRP007350
SRX080143,SRP007350
SRX080144,SRP007350
SRX080145,SRP007350
SRX080146,SRP007350
SRX080151,SRP007350
SRX080155,SRP007350
SRX080156,SRP007350
SRX080157,SRP007350
SRX080161,SRP007350
SRX080047,SRP007344
SRX080328,SRP007362
SRX080329,SRP007362
SRX080330,SRP007362
SRX080331,SRP007362
SRX080333,SRP007362
SRX080336,SRP007362
SRX080337,SRP007362
SRX080338,SRP007362
SRX080339,SRP007362
SRX080340,SRP007362
SRX080341,SRP007362
SRX080342,SRP007362
SRX080343,SRP007362
SRX080344,SRP007362
SRX080346,SRP007362
SRX080347,SRP007362
SRX080349,SRP007362
SRX080253,SRP007360
SRX080254,SRP007360
SRX080257,SRP007360
SRX080258,SRP007360
SRX080350,SRP007362
SRX080351,SRP007362
SRX080352,SRP007362
SRX080353,SRP007362
